64
# x y z
0.0 0.0 0.0
0.5 0.0 0.0
1.0 0.0 0.0
1.5 0.0 0.0
2.0 0.0 0.0
2.5 0.0 0.0
3.0 0.0 0.0
3.5 0.0 0.0
4.0 0.0 0.0
4.5 0.0 0.0
5.0 0.0 0.0
5.5 0.0 0.0
6.0 0.0 0.0
6.5 0.0 0.0
7.0 0.0 0.0
7.5 0.0 0.0
8.0 0.0 0.0
8.5 0.0 0.0
9.0 0.0 0.0
9.5 0.0 0.0
10.0 0.0 0.0
10.5 0.0 0.0
11.0 0.0 0.0
11.5 0.0 0.0
12.0 0.0 0.0
12.5 0.0 0.0
13.0 0.0 0.0
13.5 0.0 0.0
14.0 0.0 0.0
14.5 0.0 0.0
15.0 0.0 0.0
15.5 0.0 0.0
16.0 0.0 0.0
16.5 0.0 0.0
17.0 0.0 0.0
17.5 0.0 0.0
18.0 0.0 0.0
18.5 0.0 0.0
19.0 0.0 0.0
19.5 0.0 0.0
20.0 0.0 0.0
20.5 0.0 0.0
21.0 0.0 0.0
21.5 0.0 0.0
22.0 0.0 0.0
22.5 0.0 0.0
23.0 0.0 0.0
23.5 0.0 0.0
24.0 0.0 0.0
24.5 0.0 0.0
25.0 0.0 0.0
25.5 0.0 0.0
26.0 0.0 0.0
26.5 0.0 0.0
27.0 0.0 0.0
27.5 0.0 0.0
28.0 0.0 0.0
28.5 0.0 0.0
29.0 0.0 0.0
29.5 0.0 0.0
30.0 0.0 0.0
30.5 0.0 0.0
31.0 0.0 0.0
31.5 0.0 0.0
3830
# a b m n r rhoa
1 4 2 5 3.61878266 9.094992815675289
1 4 3 6 -0.932961131 14.654919176172154
1 4 5 8 -1.80918132 8.841327823881594
1 4 6 9 -0.521850952 7.286413853653491
1 4 7 10 -0.219527823 6.207002963958236
1 4 8 11 -0.117305347 5.732620698964466
1 4 9 12 -0.069330854 5.324227372285715
1 4 10 13 -0.044122666 4.9901559610462805
1 4 11 14 -0.029246058 4.645004048495973
1 4 12 15 -0.020424572 4.3917846860351375
1 4 13 16 -0.014476003 4.092993421032936
1 4 14 17 -0.011147455 4.046843693732419
1 4 15 18 -0.008929001 4.079903409406014
1 4 16 19 -0.006957846 3.9345692181136447
1 4 17 20 -0.005371012 3.7046776576542513
1 4 18 21 -0.004404061 3.6587913696528958
1 4 19 22 -0.003589647 3.552320722916895
1 4 20 23 -0.003126071 3.6489882894823236
1 4 21 24 -0.002675416 3.651534772333974
1 4 22 25 -0.00229664 3.6364141053780026
1 4 23 26 -0.001898908 3.4633595648121314
1 4 24 27 -0.001642438 3.4284477228405295
1 4 25 28 -0.001444017 3.4296039783372265
1 4 26 29 -0.001311846 3.5259889247841167
1 4 27 30 -0.001147306 3.4726084226600173
1 4 28 31 -0.001024867 3.477291809155153
1 4 29 32 -0.000901959 3.416047476155009
1 4 30 33 -0.000840087 3.5377159204844673
1 4 31 34 -0.00077695 3.6246777121267684
1 4 32 35 -0.000740182 3.812541057934671
1 4 33 36 -0.00065808 3.730543258447093
1 4 34 37 -0.000571777 3.556655036929441
1 4 35 38 -0.000495892 3.375256673414226
